time,method,parameter,x,y,vx,vy,gap,penetration,lambda_n,complementarity_error,ncp_residual,solver_success,residual_norm
0.076,penalty,1000.0,0.0,0.9712959400000006,0.0,-0.7455599999999994,0.9712959400000006,0.0,0.0,0.0,0.0,True,0.0
0.077,penalty,1000.0,0.0,0.9705405700000006,0.0,-0.7553699999999994,0.9705405700000006,0.0,0.0,0.0,0.0,True,0.0
0.078,penalty,1000.0,0.0,0.9697753900000006,0.0,-0.7651799999999994,0.9697753900000006,0.0,0.0,0.0,0.0,True,0.0
0.079,penalty,1000.0,0.0,0.9690004000000005,0.0,-0.7749899999999994,0.9690004000000005,0.0,0.0,0.0,0.0,True,0.0
0.08,penalty,1000.0,0.0,0.9682156000000005,0.0,-0.7847999999999994,0.9682156000000005,0.0,0.0,0.0,0.0,True,0.0
0.081,penalty,1000.0,0.0,0.9674209900000005,0.0,-0.7946099999999994,0.9674209900000005,0.0,0.0,0.0,0.0,True,0.0
0.082,penalty,1000.0,0.0,0.9666165700000005,0.0,-0.8044199999999994,0.9666165700000005,0.0,0.0,0.0,0.0,True,0.0
0.083,penalty,1000.0,0.0,0.9658023400000004,0.0,-0.8142299999999993,0.9658023400000004,0.0,0.0,0.0,0.0,True,0.0
0.084,penalty,1000.0,0.0,0.9649783000000004,0.0,-0.8240399999999993,0.9649783000000004,0.0,0.0,0.0,0.0,True,0.0
0.085,penalty,1000.0,0.0,0.9641444500000004,0.0,-0.8338499999999993,0.9641444500000004,0.0,0.0,0.0,0.0,True,0.0
0.08600000000000001,penalty,1000.0,0.0,0.9633007900000004,0.0,-0.8436599999999993,0.9633007900000004,0.0,0.0,0.0,0.0,True,0.0
0.08700000000000001,penalty,1000.0,0.0,0.9624473200000003,0.0,-0.8534699999999993,0.9624473200000003,0.0,0.0,0.0,0.0,True,0.0
0.088,penalty,1000.0,0.0,0.9615840400000003,0.0,-0.8632799999999993,0.9615840400000003,0.0,0.0,0.0,0.0,True,0.0
0.089,penalty,1000.0,0.0,0.9607109500000003,0.0,-0.8730899999999993,0.9607109500000003,0.0,0.0,0.0,0.0,True,0.0
0.09,penalty,1000.0,0.0,0.9598280500000003,0.0,-0.8828999999999992,0.9598280500000003,0.0,0.0,0.0,0.0,True,0.0
0.091,penalty,1000.0,0.0,0.9589353400000002,0.0,-0.8927099999999992,0.9589353400000002,0.0,0.0,0.0,0.0,True,0.0
0.092,penalty,1000.0,0.0,0.9580328200000002,0.0,-0.9025199999999992,0.9580328200000002,0.0,0.0,0.0,0.0,True,0.0
0.093,penalty,1000.0,0.0,0.9571204900000002,0.0,-0.9123299999999992,0.9571204900000002,0.0,0.0,0.0,0.0,True,0.0
0.094,penalty,1000.0,0.0,0.9561983500000002,0.0,-0.9221399999999992,0.9561983500000002,0.0,0.0,0.0,0.0,True,0.0
0.095,penalty,1000.0,0.0,0.9552664000000002,0.0,-0.9319499999999992,0.9552664000000002,0.0,0.0,0.0,0.0,True,0.0
0.096,penalty,1000.0,0.0,0.9543246400000002,0.0,-0.9417599999999992,0.9543246400000002,0.0,0.0,0.0,0.0,True,0.0
0.097,penalty,1000.0,0.0,0.9533730700000002,0.0,-0.9515699999999991,0.9533730700000002,0.0,0.0,0.0,0.0,True,0.0
0.098,penalty,1000.0,0.0,0.9524116900000001,0.0,-0.9613799999999991,0.9524116900000001,0.0,0.0,0.0,0.0,True,0.0
0.099,penalty,1000.0,0.0,0.9514405000000001,0.0,-0.9711899999999991,0.9514405000000001,0.0,0.0,0.0,0.0,True,0.0
0.1,penalty,1000.0,0.0,0.9504595000000001,0.0,-0.9809999999999991,0.9504595000000001,0.0,0.0,0.0,0.0,True,0.0
0.101,penalty,1000.0,0.0,0.9494686900000001,0.0,-0.9908099999999991,0.9494686900000001,0.0,0.0,0.0,0.0,True,0.0
0.10200000000000001,penalty,1000.0,0.0,0.9484680700000001,0.0,-1.0006199999999992,0.9484680700000001,0.0,0.0,0.0,0.0,True,0.0
0.10300000000000001,penalty,1000.0,0.0,0.9474576400000001,0.0,-1.0104299999999993,0.9474576400000001,0.0,0.0,0.0,0.0,True,0.0
0.10400000000000001,penalty,1000.0,0.0,0.9464374000000001,0.0,-1.0202399999999994,0.9464374000000001,0.0,0.0,0.0,0.0,True,0.0
0.105,penalty,1000.0,0.0,0.9454073500000001,0.0,-1.0300499999999995,0.9454073500000001,0.0,0.0,0.0,0.0,True,0.0
0.106,penalty,1000.0,0.0,0.9443674900000001,0.0,-1.0398599999999996,0.9443674900000001,0.0,0.0,0.0,0.0,True,0.0
0.107,penalty,1000.0,0.0,0.9433178200000001,0.0,-1.0496699999999997,0.9433178200000001,0.0,0.0,0.0,0.0,True,0.0
0.108,penalty,1000.0,0.0,0.9422583400000001,0.0,-1.0594799999999998,0.9422583400000001,0.0,0.0,0.0,0.0,True,0.0
0.109,penalty,1000.0,0.0,0.9411890500000001,0.0,-1.0692899999999999,0.9411890500000001,0.0,0.0,0.0,0.0,True,0.0
0.11,penalty,1000.0,0.0,0.9401099500000001,0.0,-1.0791,0.9401099500000001,0.0,0.0,0.0,0.0,True,0.0
0.111,penalty,1000.0,0.0,0.9390210400000001,0.0,-1.08891,0.9390210400000001,0.0,0.0,0.0,0.0,True,0.0
0.112,penalty,1000.0,0.0,0.9379223200000001,0.0,-1.0987200000000001,0.9379223200000001,0.0,0.0,0.0,0.0,True,0.0
0.113,penalty,1000.0,0.0,0.9368137900000001,0.0,-1.1085300000000002,0.9368137900000001,0.0,0.0,0.0,0.0,True,0.0
0.114,penalty,1000.0,0.0,0.9356954500000001,0.0,-1.1183400000000003,0.9356954500000001,0.0,0.0,0.0,0.0,True,0.0
0.115,penalty,1000.0,0.0,0.9345673000000001,0.0,-1.1281500000000004,0.9345673000000001,0.0,0.0,0.0,0.0,True,0.0
0.116,penalty,1000.0,0.0,0.9334293400000001,0.0,-1.1379600000000005,0.9334293400000001,0.0,0.0,0.0,0.0,True,0.0
0.117,penalty,1000.0,0.0,0.9322815700000001,0.0,-1.1477700000000006,0.9322815700000001,0.0,0.0,0.0,0.0,True,0.0
0.11800000000000001,penalty,1000.0,0.0,0.9311239900000001,0.0,-1.1575800000000007,0.9311239900000001,0.0,0.0,0.0,0.0,True,0.0
