time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,contact_count,contact_force_x,contact_force_y,contact_force_z,contact_torque_x,contact_torque_y,contact_torque_z
0.55000000,0.00000000,1.51488863,0.00000000,0.00000000,-5.39550000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.56000000,0.00000000,1.46041860,0.00000000,0.00000000,-5.49360000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.57000000,0.00000000,1.40496758,0.00000000,0.00000000,-5.59170000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.58000000,0.00000000,1.34853555,0.00000000,0.00000000,-5.68980000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.59000000,0.00000000,1.29112253,0.00000000,0.00000000,-5.78790000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.60000000,0.00000000,1.23272850,0.00000000,0.00000000,-5.88600000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.61000000,0.00000000,1.17335348,0.00000000,0.00000000,-5.98410000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.62000000,0.00000000,1.11299745,0.00000000,0.00000000,-6.08220000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.63000000,0.00000000,1.05166043,0.00000000,0.00000000,-6.18030000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.64000000,0.00000000,0.98934240,0.00000000,0.00000000,-6.27840000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.65000000,0.00000000,0.92604338,0.00000000,0.00000000,-6.37650000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.66000000,0.00000000,0.86176335,0.00000000,0.00000000,-6.47460000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.67000000,0.00000000,0.79650232,0.00000000,0.00000000,-6.57270000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.68000000,0.00000000,0.73026030,0.00000000,0.00000000,-6.67080000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.69000000,0.00000000,0.66303727,0.00000000,0.00000000,-6.76890000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.70000000,0.00000000,0.59483325,0.00000000,0.00000000,-6.86700000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.71000000,0.00000000,0.52564822,0.00000000,0.00000000,-6.96510000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.72000000,-0.00000000,0.46122895,-0.00000000,-0.00000009,-5.14698944,-0.00000009,1,-0.00014709,193581.42337527,-0.00014709,-0.00000940,0.00000000,0.00000940
0.73000000,-0.00000001,0.42834977,-0.00000001,-0.00000076,-1.71245469,-0.00000076,1,-0.00099099,162887.44535315,-0.00099099,-0.00006303,0.00000000,0.00006303
0.74000000,-0.00000002,0.42442822,-0.00000002,-0.00000114,0.58043275,-0.00000114,1,-0.10084952,90443.85256768,-0.10084952,-0.00002239,0.00000000,0.00002239
0.75000000,-0.00000003,0.43639884,-0.00000003,-0.00000121,1.57806657,-0.00000121,1,0.01591480,31479.13500475,0.01591480,-0.00003159,0.00000000,0.00003159
0.76000000,-0.00000004,0.45340491,-0.00000004,-0.00000124,1.71630883,-0.00000124,1,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000
0.77000000,-0.00000005,0.47005298,-0.00000005,-0.00000124,1.61820883,-0.00000124,1,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000
0.78000000,-0.00000006,0.48572004,-0.00000006,-0.00000124,1.52010883,-0.00000124,1,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000
0.79000000,-0.00000008,0.50040610,-0.00000008,-0.00000124,1.42200883,-0.00000124,1,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000
0.80000000,-0.00000009,0.51411117,-0.00000009,-0.00000124,1.32390883,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.81000000,-0.00000010,0.52683523,-0.00000010,-0.00000124,1.22580883,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.82000000,-0.00000011,0.53857829,-0.00000011,-0.00000124,1.12770883,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.83000000,-0.00000013,0.54934036,-0.00000013,-0.00000124,1.02960883,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.84000000,-0.00000014,0.55912142,-0.00000014,-0.00000124,0.93150883,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.85000000,-0.00000015,0.56792148,-0.00000015,-0.00000124,0.83340883,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.86000000,-0.00000016,0.57574055,-0.00000016,-0.00000124,0.73530883,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.87000000,-0.00000018,0.58257861,-0.00000018,-0.00000124,0.63720883,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.88000000,-0.00000019,0.58843567,-0.00000019,-0.00000124,0.53910883,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.89000000,-0.00000020,0.59331174,-0.00000020,-0.00000124,0.44100883,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.90000000,-0.00000021,0.59720680,-0.00000021,-0.00000124,0.34290883,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.91000000,-0.00000022,0.60012086,-0.00000022,-0.00000124,0.24480883,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.92000000,-0.00000024,0.60205393,-0.00000024,-0.00000124,0.14670883,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.93000000,-0.00000025,0.60300599,-0.00000025,-0.00000124,0.04860883,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.94000000,-0.00000026,0.60297705,-0.00000026,-0.00000124,-0.04949117,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.95000000,-0.00000027,0.60196712,-0.00000027,-0.00000124,-0.14759117,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.96000000,-0.00000029,0.59997618,-0.00000029,-0.00000124,-0.24569117,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.97000000,-0.00000030,0.59700424,-0.00000030,-0.00000124,-0.34379117,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.98000000,-0.00000031,0.59305131,-0.00000031,-0.00000124,-0.44189117,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.99000000,-0.00000032,0.58811737,-0.00000032,-0.00000124,-0.53999117,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1.00000000,-0.00000034,0.58220243,-0.00000034,-0.00000124,-0.63809117,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1.01000000,-0.00000035,0.57530650,-0.00000035,-0.00000124,-0.73619117,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1.02000000,-0.00000036,0.56742956,-0.00000036,-0.00000124,-0.83429117,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1.03000000,-0.00000037,0.55857162,-0.00000037,-0.00000124,-0.93239117,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1.04000000,-0.00000039,0.54873269,-0.00000039,-0.00000124,-1.03049117,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1.05000000,-0.00000040,0.53791275,-0.00000040,-0.00000124,-1.12859117,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1.06000000,-0.00000041,0.52611181,-0.00000041,-0.00000124,-1.22669117,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1.07000000,-0.00000042,0.51332988,-0.00000042,-0.00000124,-1.32479117,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1.08000000,-0.00000043,0.49956694,-0.00000043,-0.00000124,-1.42289117,-0.00000124,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1.09000000,-0.00000045,0.48721141,-0.00000045,-0.00000153,-1.02216578,-0.00000153,1,-0.04325619,30723.17149631,-0.04325619,-0.00004557,0.00000000,0.00004557
1.10000000,-0.00000047,0.47956605,-0.00000047,-0.00000185,-0.53703943,-0.00000185,1,-0.04223748,29175.39791761,-0.04223748,-0.00003837,0.00000000,0.00003837
1.11000000,-0.00000049,0.47639482,-0.00000049,-0.00000193,-0.13774263,-0.00000193,1,0.01101436,22821.11029535,0.01101436,-0.00002124,0.00000000,0.00002124
1.12000000,-0.00000050,0.47652146,-0.00000050,-0.00000176,0.12684618,-0.00000176,1,0.00723474,15601.17667415,0.00723474,-0.00001416,0.00000000,0.00001416
1.13000000,-0.00000052,0.47860349,-0.00000052,-0.00000165,0.26379110,-0.00000165,1,0.00426965,9607.42564869,0.00426965,-0.00000849,0.00000000,0.00000849
